2023-08-12 17:42:59 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 8.0.1.Final 
2023-08-12 17:42:59 [restartedMain] INFO  c.i.InventoryProjectApplication                    - Starting InventoryProjectApplication using Java 17.0.2 with PID 3880 (D:\GIT\InventoryProject\InventoryProject\target\classes started by nguyentha in D:\GIT\InventoryProject\InventoryProject) 
2023-08-12 17:42:59 [restartedMain] INFO  c.i.InventoryProjectApplication                    - No active profile set, falling back to 1 default profile: "default" 
2023-08-12 17:42:59 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2023-08-12 17:42:59 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2023-08-12 17:43:00 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2023-08-12 17:43:00 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 56 ms. Found 5 JPA repository interfaces. 
2023-08-12 17:43:00 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2023-08-12 17:43:00 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 1 ms. Found 0 JPA repository interfaces. 
2023-08-12 17:43:01 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http) 
2023-08-12 17:43:01 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"] 
2023-08-12 17:43:01 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2023-08-12 17:43:01 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/10.1.11] 
2023-08-12 17:43:01 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2023-08-12 17:43:01 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 1782 ms 
2023-08-12 17:43:01 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
2023-08-12 17:43:02 [restartedMain] INFO  c.z.h.p.HikariPool                                 - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@b1d1d9d 
2023-08-12 17:43:02 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed. 
2023-08-12 17:43:02 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Starting... 
2023-08-12 17:43:02 [restartedMain] INFO  c.z.h.p.HikariPool                                 - HikariPool-2 - Added connection ConnectionID:1 ClientConnectionId: ecb99295-f7f2-4e6f-9438-6c77c60dd8eb 
2023-08-12 17:43:02 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Start completed. 
